Numero,Nom_produit,Prix
82,"SanDisk 128 Go Ultra Dual Drive Go, Flash Drive Clé USB C, vitesse allant jusqu'à 400 Mo/s, Connecteurs USB Type-C et USB Type-A réversibles, Android smartphone stockage, Tablettes, Mac et PC, Noire","12,90"
83,"SanDisk Extreme 128 Go microSDXC, Carte micro sd + adaptateur SD, UHS-I V30, jusqu'à 190 Mo/s, pour votre smartphone, caméra d'action ou droner, RescuePro Deluxe, A2, Class 10, U3","13,99"
84,UGREEN Cat 8 Câble Ethernet Réseau RJ45 Super Débit 40Gbps 2000MHz Nylon Tressé Double Blindage Compatible avec Routeur Switch Modem Décodeur TV Box Internet PS5 PS4 Xbox Console de Jeux PC (1M),"6,99"
85,"TP-Link TL-SG105 Switch Ethernet Gigabit 5 ports RJ45 metallique 10/100/1000 Mbps, IGMP Snooping, switch RJ45 idéal pour étendre le réseau câblé pour les bureaux à domicile","15,73"
86,UGREEN Câble USB C Charge Rapide 3A Nylon Tressé Câble Chargeur USB C Compatible avec iPhone 16 Plus Pro Max 15 Galaxy S24 Plus Ultra S23 A05S A35 A55 Redmi 14C A3 Note 13 Manette PS5 (0.5M),"5,94"
87,"SanDisk 128 Go Ultra Flair Flash Drive Clé USB, des vitesses allant jusqu'à 150 Mo/s, USB 3.0, Protection par mot de passe, Un boîtier en métal élégant et resistant, Argent/Noir","12,90"
88,"ProCase 2 films de protection d'écran en verre trempé 9H pour iPad 10e génération 10,9"" 2022 - Transparent","9,99"
89,"AiTodos® Support Ordinateur Portable, Laptop Stand,Alliage D'aluminium, Léger, Compact Portable Pliable - Ventilation et Dissipation de la Chaleur, Réglage à 6 Vitesses - Support pc Portable","12,78"
90,SanDisk 128 Go Extreme PRO microSDXC carte + adaptateur SD + RescuePro Deluxe jusqu'à 200 Mo/s avec des performances applicatives A2 UHS-I Class 10 U3 V30,"17,72"
91,ilikable Lot de 3 Câble USB C vers Lightning 1M Cable iPhone Charge Rapide MFi Certifié Chargeur pour iPhone 14 13 12 Pro Max Mini iPhone 11 Pro X XR XS SE 2020 8 Plus,"8,73"
92,"Lecteur CD DVD externe pour ordinateur portable USB 3.0 Type-C Portable Graveur DVD CD+/-RW Lecteur CD DVD externe pour PC, bureau, MacBook, iMac, Windows 11/10/8/7/XP/Vista/Linux/Mac/OS","21,98"
93,Kingston Technology Canvas Select Plus Carte MIcro SD SDCS2/128GB Class 10 + Adaptateur inclus,"7,49"
94,"INIU Câble USB C vers USB C [100W/2M], Câble de Charge Rapide PD 5A QC 4.0, Câble Chargeur Nylon Tressé Type-C pour iPhone 16/15 Pro Max Samsung Galaxy S24/S23 A55/A35 iPad Air Mini MacBook Steam Deck","6,15"
95,"INIU Câble USB A vers USB C [Lot de 3 (2+2+0.5M)], Câble USB C 3.1A Charge Rapide, Câble de Charge USB-C Tressé en Nylon pour iPhone 16 15 Pro Max iPad Air Mini Samsung Galaxy S24 S23 S22 Ultra Xiaomi","9,98"
96,"CSL-Computer - Tapis de souris XXL Speed Gaming Titanwolf noir 900 x 400 mm - Grande base de table - Améliore la précision et la vitesse, 23032532, Type 1","12,95"
97,"Module de Refroidissement Thermoélectrique, Dissipateur de Chaleur Diamètre Extérieur 26 Mm TES1 04903 Électronique Circulaire Accessoires pour Ordinateur Composants Ventilateurs","18,06"
98,Denash Carte PCI Carte Graphique VGA 8 Mo 32 Bits Ordinateur de Bureau Composants Accessoires Multi-Affichage pour ATI Rage XL,"19,42"
99,UKCOCO Accessoires Pour Ordinateur Portable D'Ordinateur 1 Pièce Composant De Bandoulière Matériel De Sport Pour Hommes Et Femmes Bretelles Réglables,"8,79"
